# CANDIDATE	  MBJD		    RV	    RVE
HD198044          2456974.11287   26.230 0.5
HD205403          2456968.08267  -11.734 0.5
HD205403          2456973.09608    0.918 0.5
HD205403          2456974.02612   50.468 0.5
HD205403          2456974.05133   48.167 0.5
HD205403          2456974.06354   48.532 0.5
HD222891          2456968.05579   97.695 0.5
HD222891          2456968.06948   98.708 0.5
