    0.155893175061678879E+01    0.903503307623680740E+01   -0.237434512376785278E+01    0.100748974084854126E+04    0.366720259189605713E+00   -0.316776560109399043E+04   -0.690775511231546968E+01    1
    0.150956812924861916E+01    0.909727285819595188E+01   -0.227360439300537109E+01    0.111689257621765137E+04    0.702822923660278320E+00   -0.272098609710503979E+04   -0.690875511231548245E+01    1
    0.188610393274766208E+01    0.957093430735962691E+01    0.457074642181396484E+00    0.221056973934173584E+04    0.232512950897216797E+00   -0.249264796075610639E+04   -0.690975511231547301E+01    1
    0.127123893344217542E+01    0.994969762292359938E+01   -0.161027908325195312E-02    0.256243783235549927E+04    0.127764940261840820E-01   -0.242408656627956361E+04   -0.691075511231547601E+01    1
    0.142713588460421570E+01    0.904771769192243980E+01   -0.241155040264129639E+01    0.645824432373046875E+03    0.418921172618865967E+00   -0.240137619761941687E+04   -0.691175511231546658E+01    1
    0.178771810199975967E+01    0.960742953986129677E+01    0.201614439487457275E+00    0.297228902578353882E+04    0.571674108505249023E+00   -0.236390943831588038E+04   -0.691275511231547579E+01    1
    0.140849999250394098E+01    0.987183811727182636E+01    0.423229634761810303E+00    0.137563955783843994E+04    0.253991186618804932E+00   -0.233319878326614480E+04   -0.691375511231547435E+01    1
    0.131550218485736847E+01    0.987090767331250518E+01   -0.563784837722778320E-01    0.280645108222961426E+04    0.149227023124694824E+00   -0.231682810148707949E+04   -0.691475511231548357E+01    1
    0.135814356675034764E+01    0.924672446404276549E+01   -0.233050495386123657E+01    0.220839446783065796E+04    0.589021265506744385E+00   -0.231308961059827743E+04   -0.691575511231552209E+01    1
    0.139151133195930710E+01    0.914130971297410611E+01   -0.204916661977767944E+01    0.276499861478805542E+04    0.693490445613861084E+00   -0.226216564894006433E+04   -0.691675511231554463E+01    1
    0.243597817947328110E+01    0.912306879132118453E+01    0.475721716880798340E+00    0.265774440765380859E+04    0.224452614784240723E+00   -0.226188262092194282E+04   -0.691775511231549967E+01    1
